Adventure_AccessWarpPoint,AdventureAccessWarpPointRequest,AdventureAccessWarpPointResponse
Adventure_AcquireAreaItem,AdventureAcquireAreaItemRequest,AdventureAcquireAreaItemResponse
Adventure_AreaObject,AdventureAreaObjectRequest,AdventureAreaObjectResponse
Adventure_FindGraffiti,AdventureFindGraffitiRequest,AdventureFindGraffitiResponse
Adventure_Hospital,AdventureHospitalRequest,ChangedResourcesResponse
Adventure_MoveToArea,AdventureMoveToAreaRequest,AdventureMoveToAreaResponse
Adventure_ReadSequence,AdventureReadSequenceRequest,AdventureReadSequenceResponse
Adventure_ReleaseEventLift,AdventureReleaseEventLiftRequest,ChangedResourcesResponse
Adventure_TrackTarget,AdventureTrackTargetRequest,ChangedResourcesResponse
Adventure_UpdateCharacterStatus,AdventureUpdateCharacterStatusRequest,ChangedResourcesResponse
Adventure_WarpAreaLocator,AdventureWarpAreaLocatorRequest,ChangedResourcesResponse
Auth_Nonce,None,AuthNonceResponse
Auth_SignIn,AuthSignInRequest,AuthSignInResponse
Auth_SignUp,AuthSignUpRequest,AuthSignUpResponse
Auth_SignUpApple,AuthSignUpAppleRequest,AuthSignUpAppleResponse
Auth_SignUpGoogle,AuthSignUpGoogleRequest,AuthSignUpGoogleResponse
Auth_SignUpPasscode,AuthSignUpPasscodeRequest,AuthSignUpPasscodeResponse
Auth_SteamUser,AuthSteamUserRequest,AuthSteamUserResponse
Battle_Finish,BattleFinishRequest,BattleFinishResponse
Battle_Restart,BattleRestartRequest,BattleRestartResponse
Battle_Skip,BattleSkipRequest,BattleSkipResponse
Battle_Start,BattleStartRequest,BattleStartResponse
Character_CostumeUpdate,CharacterCostumeUpdateRequest,ChangedResourcesResponse
Character_Enhance,CharacterEnhanceRequest,ChangedResourcesResponse
Character_Equip,CharacterEquipRequest,ChangedResourcesResponse
Character_ItemPresent,CharacterItemPresentRequest,ChangedResourcesResponse
Character_LimitBreak,CharacterLimitBreakRequest,CharacterLimitBreakResponse
Character_RankEnhance,CharacterRankEnhanceRequest,CharacterRankEnhanceResponse
Character_SkillPanelEnhance,CharacterSkillPanelEnhanceRequest,CharacterSkillPanelEnhanceResponse
Character_SkillPanelReset,CharacterSkillPanelResetRequest,CharacterSkillPanelResetResponse
City_ReleaseGearShop,CityReleaseGearShopRequest,ChangedResourcesResponse
Debug_ChallengeClear,DebugChallengeClearRequest,DebugChallengeClearResponse
Debug_ClientError,None,None
Debug_JiraToken,None,DebugJiraTokenResponse
Debug_MailSend,DebugMailSendRequest,None
Debug_ServerError,None,None
Debug_ShopPurchase,DebugShopPurchaseRequest,ChangedResourcesResponse
Debug_UserBulkResource,DebugUserBulkResourceRequest,None
Debug_UserError,None,None
Debug_XbPvpSpecifyEnemy,DebugXbPvpSpecifyEnemyRequest,None
Dish_Order,DishOrderRequest,ChangedResourcesResponse
Dungeon_AcquireAreaItem,DungeonAcquireAreaItemRequest,DungeonAcquireAreaItemResponse
Dungeon_BattleSkip,DungeonBattleSkipRequest,BattleSkipResponse
Dungeon_BattleStart,DungeonBattleStartRequest,BattleStartResponse
Dungeon_Entry,DungeonEntryRequest,DungeonEntryResponse
Dungeon_Finish,DungeonFinishRequest,ChangedResourcesResponse
Dungeon_Resume,DungeonResumeRequest,DungeonResumeResponse
Dungeon_Start,DungeonStartRequest,DungeonStartResponse
Event_FinishNode,EventFinishNodeRequest,EventFinishNodeResponse
Event_ListNode,None,ChangedResourcesResponse
FieldBoss_Entry,FieldBossEntryRequest,FieldBossEntryResponse
Follow_Add,FollowAddRequest,FollowAddResponse
Follow_Detail,FollowDetailRequest,FollowDetailResponse
Follow_List,None,FollowListResponse
Follow_Remove,FollowRemoveRequest,FollowRemoveResponse
Follow_Search,FollowSearchRequest,FollowSearchResponse
Formation_Switch,FormationSwitchRequest,ChangedResourcesResponse
Formation_Update,FormationUpdateRequest,ChangedResourcesResponse
FractalVise_AcquireAreaItem,FractalViseAcquireAreaItemRequest,FractalViseAcquireAreaItemResponse
FractalVise_BattleStart,FractalViseBattleStartRequest,BattleStartResponse
FractalVise_BattleStartBossBattle,FractalViseBattleStartBossBattleRequest,BattleStartResponse
FractalVise_BossDifficulty,FractalViseBossDifficultyRequest,FractalViseBossDifficultyResponse
FractalVise_Clear,FractalViseClearRequest,FractalViseClearResponse
FractalVise_NextArea,FractalViseNextAreaRequest,FractalViseNextAreaResponse
FractalVise_Resume,FractalViseResumeRequest,FractalViseResumeResponse
FractalVise_Retire,FractalViseRetireRequest,FractalViseRetireResponse
FractalVise_RewardsReceive,FractalViseRewardsReceiveRequest,FractalViseRewardsReceiveResponse
FractalVise_RewardsTop,FractalViseRewardsTopRequest,FractalViseRewardsTopResponse
FractalVise_Start,FractalViseStartRequest,FractalViseStartResponse
Gacha_Execute,GachaExecuteRequest,GachaExecuteResponse
Gacha_List,None,GachaListResponse
Gacha_Select,GachaSelectRequest,GachaSelectResponse
Gear_Compress,GearCompressRequest,GearCompressResponse
Gear_Lock,GearLockRequest,ChangedResourcesResponse
Gear_Unlock,GearUnlockRequest,ChangedResourcesResponse
HappyWorker_Cancel,HappyWorkerCancelRequest,HappyWorkerCancelResponse
HappyWorker_List,HappyWorkerListRequest,HappyWorkerListResponse
HappyWorker_Start,HappyWorkerStartRequest,HappyWorkerStartResponse
ItemRequest_Cancel,None,None
ItemRequest_Collect,None,ItemRequestCollectResponse
ItemRequest_Fulfill,ItemRequestFulfillRequest,ItemRequestFulfillResponse
ItemRequest_Get,None,ItemRequestGetResponse
ItemRequest_List,None,ItemRequestListResponse
ItemRequest_Publish,ItemRequestPublishRequest,ItemRequestPublishResponse
Item_Exchange,ItemExchangeRequest,ChangedResourcesResponse
Item_OpenSelectBox,ItemOpenSelectBoxRequest,ChangedResourcesResponse
Item_Sell,ItemSellRequest,ChangedResourcesResponse
Item_Synthesize,ItemSynthesizeRequest,ChangedResourcesResponse
Item_UseSupply,ItemUseSupplyRequest,ChangedResourcesResponse
Item_UseSupplyGearEffect,ItemUseSupplyGearEffectRequest,ChangedResourcesResponse
LoginBonus_List,None,ChangedResourcesResponse
LoginBonus_Receive,LoginBonusReceiveRequest,LoginBonusReceiveResponse
Mail_Delete,MailDeleteRequest,MailDeleteResponse
Mail_List,None,MailListResponse
Mail_Open,MailOpenRequest,MailOpenResponse
Mission_CountRewardReceive,MissionCountRewardReceiveRequest,MissionCountRewardReceiveResponse
Mission_Receive,MissionReceiveRequest,MissionReceiveResponse
News_List,NewsListRequest,NewsListResponse
News_UserList,None,NewsUserListResponse
Profile_UpdateBadges,ProfileUpdateBadgesRequest,ChangedResourcesResponse
Profile_UpdateBanner,ProfileUpdateBannerRequest,ChangedResourcesResponse
Profile_UpdateCharacterLikabilityScale,ProfileUpdateCharacterLikabilityScaleRequest,ChangedResourcesResponse
Profile_UpdateName,ProfileUpdateNameRequest,ChangedResourcesResponse
Purchase_History,None,PurchaseHistoryResponse
Purchase_SessionPublish,PurchaseSessionPublishRequest,None
Purchase_SessionStart,PurchaseSessionStartRequest,PurchaseSessionStartResponse
Purchase_Verify,PurchaseVerifyRequest,ChangedResourcesResponse
RecipeShop_Purchase,RecipeShopPurchaseRequest,ChangedResourcesResponse
RefundApplication_Get,None,RefundApplicationGetResponse
RefundApplication_RequestRefund,RefundApplicationRequestRefundRequest,RefundApplicationRequestRefundResponse
RefundApplication_SendVerificationCode,None,RefundApplicationSendVerificationCodeResponse
RefundApplication_UpdateEmailId,RefundApplicationUpdateEmailIdRequest,RefundApplicationUpdateEmailIdResponse
RefundApplication_VerifyEmailId,RefundApplicationVerifyEmailIdRequest,RefundApplicationVerifyEmailIdResponse
RuledBattle_Start,RuledBattleStartRequest,BattleStartResponse
SeasonPass_PurchasePaidPass,SeasonPassPurchasePaidPassRequest,SeasonPassPurchasePaidPassResponse
SeasonPass_Receive,SeasonPassReceiveRequest,SeasonPassReceiveResponse
SeasonPass_ReceiveAll,SeasonPassReceiveAllRequest,SeasonPassReceiveAllResponse
SeasonPass_TierPurchase,SeasonPassTierPurchaseRequest,ChangedResourcesResponse
Shop_CycleUpdateShopPurchase,ShopCycleUpdateShopPurchaseRequest,ChangedResourcesResponse
Shop_CycleUpdateShopRelease,ShopCycleUpdateShopReleaseRequest,ChangedResourcesResponse
Shop_GearShopList,ShopGearShopListRequest,ShopGearShopListResponse
Shop_GearShopPurchase,ShopGearShopPurchaseRequest,ShopGearShopPurchaseResponse
Shop_GemList,None,ShopGemListResponse
Shop_Purchase,ShopPurchaseRequest,ChangedResourcesResponse
Shop_RandomCostumeList,ShopRandomCostumeListRequest,ShopRandomCostumeListResponse
Shop_RandomCostumePurchase,ShopRandomCostumePurchaseRequest,ChangedResourcesResponse
Stamina_Purchase,StaminaPurchaseRequest,ChangedResourcesResponse
Stamina_UseItem,StaminaUseItemRequest,ChangedResourcesResponse
Subsystem_Status,None,SubsystemStatusResponse
TensionCard_Disassemble,TensionCardDisassembleRequest,TensionCardDisassembleResponse
TensionCard_Enhance,TensionCardEnhanceRequest,ChangedResourcesResponse
TensionCard_LevelLimitEnhance,TensionCardLevelLimitEnhanceRequest,ChangedResourcesResponse
TensionCard_LimitBreakEnhance,TensionCardLimitBreakEnhanceRequest,TensionCardLimitBreakEnhanceResponse
TensionCard_Lock,TensionCardLockRequest,ChangedResourcesResponse
Tip_Release,TipReleaseRequest,TipReleaseResponse
Tip_ReleaseByBattle,TipReleaseByBattleRequest,ChangedResourcesResponse
TrialBattle_RewardReceive,TrialBattleRewardReceiveRequest,TrialBattleRewardReceiveResponse
TrialBattle_Start,TrialBattleStartRequest,BattleStartResponse
Tutorial_Skip,None,TutorialSkipResponse
User_CrossDate,None,UserCrossDateResponse
User_Delete,None,UserDeleteResponse
User_LinkApple,UserLinkAppleRequest,ChangedResourcesResponse
User_LinkGoogle,UserLinkGoogleRequest,ChangedResourcesResponse
User_LinksList,None,UserLinksListResponse
User_LogIn,None,UserLogInResponse
User_Notification,None,ChangedResourcesResponse
User_UnlinkApple,None,None
User_UnlinkGoogle,None,None
User_UnlinkSteam,None,None
User_UpdateBirthdate,UserUpdateBirthdateRequest,ChangedResourcesResponse
User_UpdateLanguage,UserUpdateLanguageRequest,None
WebSession_Token,None,WebSessionTokenResponse
XbPvp_CasualMatching,XbPvpCasualMatchingRequest,XbPvpCasualMatchingResponse
XbPvp_Entry,None,XbPvpEntryResponse
XbPvp_Formation,None,XbPvpFormationResponse
XbPvp_FormationUpdate,XbPvpFormationUpdateRequest,XbPvpFormationUpdateResponse
XbPvp_QuickMatching,None,XbPvpQuickMatchingResponse
XbPvp_RankMatchHistoryList,XbPvpRankMatchHistoryListRequest,XbPvpRankMatchHistoryListResponse
XbPvp_RankMatching,None,XbPvpRankMatchingResponse
Xb_AddCommandUnlockItem,XbAddCommandUnlockItemRequest,XbAddCommandUnlockItemResponse
Xb_ForceRetire,None,None
Xb_Formation,XbFormationRequest,XbFormationResponse
Xb_FormationUpdate,XbFormationUpdateRequest,XbFormationUpdateResponse
Xb_Play,XbPlayRequest,XbPlayResponse
Xb_Retire,None,XbRetireResponse
Xb_Start,XbStartRequest,XbStartResponse
Xb_Status,XbStatusRequest,XbStatusResponse
Xb_UpdateSkillOrbStatus,XbUpdateSkillOrbStatusRequest,XbUpdateSkillOrbStatusResponse
Xb_UpdateTension,XbUpdateTensionRequest,XbUpdateTensionResponse
